,Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
0,18/07/2023,1.365,1.37,1.37,1.355,"29,61M","-0,36%"
1,17/07/2023,1.37,1.365,1.38,1.36,"31,41M","0,74%"
2,14/07/2023,1.36,1.34,1.37,1.34,"49,05M","1,49%"
3,13/07/2023,1.34,1.345,1.35,1.335,"24,72M","0,00%"
4,12/07/2023,1.34,1.34,1.35,1.335,"19,33M","0,00%"
5,11/07/2023,1.34,1.355,1.36,1.33,"63,77M","-0,74%"
6,10/07/2023,1.35,1.35,1.365,1.35,"21,55M","0,00%"
7,07/07/2023,1.35,1.36,1.36,1.34,"44,67M","-0,74%"
8,06/07/2023,1.36,1.345,1.37,1.345,"49,42M","1,12%"
9,05/07/2023,1.345,1.34,1.36,1.34,"53,95M","0,37%"
10,04/07/2023,1.34,1.315,1.35,1.31,"84,56M","2,29%"
11,03/07/2023,1.31,1.31,1.32,1.31,"23,36M","0,38%"
12,27/06/2023,1.305,1.305,1.315,1.305,"31,62M","0,00%"
13,26/06/2023,1.305,1.31,1.32,1.305,"43,97M","0,00%"
14,23/06/2023,1.305,1.31,1.315,1.295,"54,92M","-0,38%"
15,22/06/2023,1.31,1.31,1.325,1.305,"39,61M","0,38%"
16,21/06/2023,1.305,1.31,1.315,1.3,"50,85M","-0,76%"
17,20/06/2023,1.315,1.32,1.32,1.305,"29,06M","0,00%"
18,19/06/2023,1.315,1.315,1.32,1.31,"21,43M","0,38%"
19,16/06/2023,1.31,1.315,1.34,1.305,"78,35M","-0,38%"
20,15/06/2023,1.315,1.305,1.315,1.3,"46,37M","0,77%"
21,14/06/2023,1.305,1.305,1.315,1.3,"37,81M","0,00%"
22,13/06/2023,1.305,1.315,1.32,1.3,"65,64M","-0,76%"
23,12/06/2023,1.315,1.305,1.325,1.295,"112,45M","-8,04%"
24,09/06/2023,1.43,1.43,1.44,1.42,"123,05M","0,00%"
25,08/06/2023,1.43,1.425,1.44,1.42,"68,23M","0,35%"
26,07/06/2023,1.425,1.435,1.445,1.42,"70,55M","-0,70%"
27,06/06/2023,1.435,1.445,1.455,1.42,"92,49M","-0,35%"
28,05/06/2023,1.44,1.45,1.475,1.435,"95,91M","0,70%"
29,31/05/2023,1.43,1.45,1.475,1.43,"123,61M","-1,38%"
30,30/05/2023,1.45,1.41,1.465,1.355,"228,35M","2,84%"
31,29/05/2023,1.41,1.36,1.415,1.33,"74,31M","4,83%"
32,26/05/2023,1.345,1.355,1.37,1.33,"83,96M","-0,74%"
33,25/05/2023,1.355,1.37,1.38,1.355,"40,62M","-1,09%"
34,24/05/2023,1.37,1.36,1.38,1.36,"34,27M","0,74%"
35,23/05/2023,1.36,1.365,1.395,1.36,"47,02M","0,00%"
36,22/05/2023,1.36,1.345,1.375,1.345,"40,54M","1,12%"
37,19/05/2023,1.345,1.39,1.39,1.345,"91,89M","-2,18%"
38,17/05/2023,1.375,1.38,1.405,1.37,"33,47M","-0,36%"
39,16/05/2023,1.38,1.41,1.415,1.375,"35,34M","-2,13%"
40,15/05/2023,1.41,1.415,1.42,1.4,"21,89M","-0,70%"
41,12/05/2023,1.42,1.42,1.425,1.4,"19,73M","0,00%"
42,11/05/2023,1.42,1.425,1.425,1.4,"30,33M","-0,35%"
43,10/05/2023,1.425,1.42,1.44,1.415,"35,68M","0,71%"
44,09/05/2023,1.415,1.395,1.43,1.39,"50,53M","1,80%"
45,08/05/2023,1.39,1.38,1.4,1.37,"36,67M","1,46%"
46,05/05/2023,1.37,1.38,1.38,1.355,"44,09M","-0,72%"
47,04/05/2023,1.38,1.39,1.395,1.37,"36,94M","-1,08%"
48,03/05/2023,1.395,1.375,1.4,1.365,"34,35M","0,36%"
49,02/05/2023,1.39,1.43,1.435,1.38,"94,83M","-2,80%"
50,28/04/2023,1.43,1.435,1.45,1.425,"34,38M","0,00%"
51,27/04/2023,1.43,1.445,1.455,1.43,"39,04M","-1,04%"
52,26/04/2023,1.445,1.42,1.46,1.41,"81,03M","1,76%"
53,18/04/2023,1.42,1.41,1.43,1.405,"58,65M","1,07%"
54,17/04/2023,1.405,1.38,1.43,1.38,"95,45M","1,08%"
55,14/04/2023,1.39,1.385,1.4,1.38,"70,03M","0,72%"
56,13/04/2023,1.38,1.39,1.4,1.375,"39,22M","-0,36%"
57,12/04/2023,1.385,1.39,1.395,1.375,"38,15M","0,73%"
58,11/04/2023,1.375,1.365,1.39,1.36,"42,51M","1,48%"
59,10/04/2023,1.355,1.365,1.38,1.35,"35,19M","-0,73%"
60,06/04/2023,1.365,1.385,1.395,1.365,"53,48M","-1,44%"
61,05/04/2023,1.385,1.405,1.42,1.385,"57,46M","-1,42%"
62,04/04/2023,1.405,1.355,1.41,1.34,"110,06M","3,69%"
63,03/04/2023,1.355,1.42,1.42,1.35,"92,94M","-1,81%"
64,31/03/2023,1.38,1.4,1.405,1.38,"32,77M","-1,08%"
